Title,Description,Category,Priority,Status,Tag
Disabled Employees,Please provide a schedule of employees covered by any disability legislation applicable in the jurisdiction in which the Target operates.,General HR,High,Open,HR
Employee Policies,Please provide copies of all employee handbooks and other employee policies.,HR Policies,High,Open,HR
Hiring Policies,"Please provide a detailed summary of the Target's hiring practices and policies, including use of background checks, verification of immigration status, and any other applicable policies.",HR Policies,Low,Open,HR
Changes to Employee Policies,"Please provide a summary of any changes that have been agreed within the past 12 months or that are contemplated in relation to terms and conditions, handbooks, policies, benefits and redundancy arrangements and the date that any such changes will come into force.",HR Policies,High,Open,HR
Employee Loans,Please provide a detailed schedule of any loans granted to employees (terms/conditions/tax implications) and all sums owed.,HR Policies,Low,Open,HR
Patents and Trademarks,Please provide a summary of all patents and registered trademarks held by the Target.,IP Registrations,High,Open,IP
Domain Names,Please provide a schedule of all websites and domains owned or run by the Target and any terms and conditions related thereto.,IP Registrations,Low,Open,IP
Licensing Agreements - Incoming,Please provide copies of all agreements under which the Target is granted the right to use IP owned by a third party.,IP Contracts,High,Open,IP
Licensing Agreements - Outgoing,Please provide copies of all agreements under which a third party is granted the right to use IP owned by the Target.,IP Contracts,Low,Open,IP
Jointly-Owned IP,"Please provide a summary of any IP that is not solely owned by the Target (e.g., joint ownership, non-exclusive license, etc.), including any contracts or other documentation related thereto.",IP Contracts,High,Open,IP
Infringement,Please provide a summary of any past or current instances where any third party actually or allegedly infringed on the Target's IP or where the Target actually or allegedly infringed on a third party's IP.,IP Litigation,High,Open,IP
IP Restrictions,Please provide a detailed summary of any restrictions to which IP assets of the Target are subject.,IP Litigation,Low,Open,IP
IP Litigation,"Please provide a summary of all IP litigation in which the Target is or has been involved, including the current status or outcome thereof (e.g., court orders, settlements, etc.).",IP Litigation,High,Open,IP
IP Development,"Please provide a summary of the Target's process for generating/developing, recognizing, capturing, and protecting (for instance, via patents) IP assets.",IP Development,Low,Open,IP
IT Projects,"Please provide details of any current and planned IT initiatives/key projects - including details of key benefits to be realized, capital budget, total budget, time and cost incurred to date and estimated time and cost to completion.",IT Administration,High,Open,IT
Key IT Resources,"Please provide a summary of all key IT resources (hardware/software/people) and the extent to which the Target depends on any such resources.",IT Administration,Low,Open,IT
Software,"Please provide a summary of the Target's policies and practices regarding the purchase and maintenance of software (e.g. (i) how often is software purchased (ii) who makes the purchase (iii) is software renewed and renegotiated on an annual basis).",IT Administration,High,Open,IT
Material Software,Please provide a summary of all material software utilized by the Target.,IT Administration,Low,Open,IT
Hardware,"Please provide a summary of the Target's policies and practices regarding the purchase and maintenance of IT hardware (e.g. (i) how often is hardware purchased and (ii) who makes the purchase).",IT Administration,High,Open,IT
Material Hardware,"Please provide a summary of all material hardware utilized by the Target, including the physical location thereof.",IT Administration,High,Open,IT
Technical Architecture,"Please provide a diagram of the Target's technical architecture including servers, storage devices, operating systems and databases.",IT Administration,Low,Open,IT
System Networks,"Please provide a detailed description of the networking systems utilized by the Target, including a depiction of topology, inventory, connectivity, bandwith, instances of downtime in the past 12 months, etc.",IT Administration,High,Open,IT
Hardware Configurations,Please provide a summary of an specific hardware configurations utilized by the Target.,IT Administration,Low,Open,IT
IT Support Services,"Please provide a summary of any vendor support or other support services to which the Target is entitled or that the Target utilizes, including any contracts or other documentation related thereto.",IT Administration,Low,Open,IT
IT Maintenance,"Please provide a summary of annual costs associated with maintenance of IT hardware for the past 3 years, including details related to the replacement and/or upgrade of such hardware.",IT Administration,High,Open,IT
IT Contracts,Please provide copies of all material contracts related to software and/or IT services obtained by the Company.,IT Administration,High,Open,IT
IT Services,Please provide a summary of services provided by all external IT contractors/consultants and copies of all contracts related thereto.,IT Administration,Low,Open,IT
Growth,Describe the capacity for growth in the Target's current IT environment. If IT is being fully utilized to what extent is investment required to support intended future growth?,IT Administration,High,Open,IT
IT Acquisition,"Please provide a summary of how technology acquired by the Target, including sourcing methods and delegation of responsibility therefor.",IT Administration,Low,Open,IT
Help Desk,"Please provide a summary of the Target's support/help desk effectiveness and approach (e.g., in-house or out-sourced).",IT Administration,Low,Open,IT
IT Strategy,Provide a summary of the role of technology/IT in the Target's strategic plan.,IT Administration,High,Open,IT
Automation,Describe the level of automation made possible via the Target's IT systems (software & hardware) and the sufficiency of such capabilities given the Target's business.,IT Administration,High,Open,IT
Web-based Applications,Please provide a description of any web-based or internet facing applications hosted by the Target.,IT Administration,Low,Open,IT
Security Protocols,Please provide a detailed description of the key security protocols adopted by the Target.,IT Security,High,Open,IT
Disaster Recovery,"Please provide a detailed description of the Target's policies and procedures related to backups and/or disaster recovery, including all documentation related thereto.",IT Security,High,Open,IT
Data Privacy,"Please provide a detailed description of the Target's data privacy policies and procedures, including all documentation related thereto.",IT Security,Low,Open,IT
Sensitive Information,"Please provide a summary of all personal and/or sensitive information held and/or processed by the Target, including information about users that have access to such information and policies and procedures regarding protection thereof.",IT Security,High,Open,IT
Stress Test Results,"Please provide the results of any stress test analysis undertaken by the Target, including the resolution of any issues identified.",IT Security,Low,Open,IT
Other IT Security Testing,Please provide a summary of all monitoring measures/tests conducted by the Target to ensure IT security systems are working as expected.,IT Security,Low,Open,IT
Summary of Security Issues,"Please provide a detailed summary of any logged security issues, including all actions taken to remedy such issues.",IT Security,High,Open,IT
Data Storage,"Please provide a detailed summary of the Target's policies and procedures regarding data storage (e.g., devices utilized, use of cloud storage, security measures, capacity, etc.).",IT Security,High,Open,IT
Data Encryption,Please provide a summary of the Target's policies and practices regarding data encryption.,IT Security,Low,Open,IT
E-mail Vulnerabilities,"Please provide a summary of any issues or concerns related to the Target's use of e-mail, including loss of confidential information, inappropriate or malicious content, etc.",IT Security,Low,Open,IT
Anti-Virus Protection,Please provide a summary of any anti-virus and/or anti-malware protections utilized by the Target.,IT Security,High,Open,IT
Attacks/Intrusions,Please provide a detailed description of any cyber attacks/intrusions that the Target has been subjected to in the past 12 months.,IT Security,High,Open,IT
Mobile Device Security,Please provide a summary of all policies and procedures utilized by the Target to manage the security of mobile devices.,IT Security,Low,Open,IT
